date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2015-07-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,295.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2015-10-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,276.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2015-11-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,252.5,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2015-12-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,250.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2016-01-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,258.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2016-02-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,260.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2016-03-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,260.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2016-04-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,264.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2016-05-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,280.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2016-06-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,280.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2016-07-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,210.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2016-08-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,190.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2016-11-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,250.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2016-12-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,250.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2017-01-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,257.5,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2017-02-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,260.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2017-03-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,252.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2017-04-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,250.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2017-05-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,250.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2017-06-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,247.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2017-07-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,210.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2017-11-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,360.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2017-12-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,180.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2018-02-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,180.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2018-03-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,180.0,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2018-04-15,Rice (imported) - Wholesale,50 KG,cereals and tubers,263.3333,GHS,Ghana,Ashanti,1324,Kumasi,215,64,14,22,1,215_64_14_22,
2008-01-15,Cassava - Wholesale,91 KG,cereals and tubers,6.77,GHS,Ghana,Ashanti,1324,Kumasi,215,68,14,23,1,215_68_14_23,
